TREE_SCORE
36.22067745181044

PARENT_NODE	CHILD_NODE
0	1
1	2
2	3
3	4
4	5
5	6
6	7
5	8
8	9

CLUSTER	NODE_OF_CLUSTER
0	6
1	7
2	4
3	3
4	8
5	2
6	9
7	1
8	5

MUTATION	NODE_OF_MUTATION
chr10:35190958	6
chr11:2385519	7
chr12:22509130	6
chr13:71027393	6
chr14:100184987	6
chr16:55086544	6
chr16:758231	6
chr17:41424507	7
chr19:7451021	7
chr1:16635027	6
chr20:29059469	6
chr21:10329899	7
chr21:10417801	7
chr21:10445925	6
chr21:9246746	7
chr22:10744644	7
chr22:11057057	7
chr22:21555351	6
chr2:168253884	6
chr2:61789950	6
chr4:118384421	6
chr4:78253573	6
chr5:143910268	6
chr6:10447082	7
chr6:150131673	6
chr6:32554431	6
chr6:32554456	6
chr7:100973146	7
chr7:100973185	7
chr7:100973191	7
chr7:100973217	7
chr7:100973224	7
chr7:152403470	7
chr7:22030019	6
chr7:77473226	6
chr8:144993590	6
chr8:1858293	6
chr8:48021844	6
chr9:33367981	6
chr9:33797664	7
chr9:33797665	7
chr9:509285	6
chr9:65389815	7
chr9:65389841	7
chr9:66184841	7
chr9:91742118	6
chr12:111649006	4
chr17:67682883	4
chr20:33795887	4
chr2:20505119	4
chr2:20505129	4
chr3:125420133	4
chr3:183579769	4
chr3:35505119	4
chr3:64124514	4
chr4:188270148	4
chr4:54705792	4
chr4:54705793	4
chr4:9193417	4
chr5:100187928	4
chr5:180517892	4
chr8:27028517	4
chr8:34631643	4
chr11:115899304	3
chr12:130406953	3
chr12:42119028	3
chr15:20353248	3
chr17:18545248	3
chr18:14780057	3
chr19:39736313	8
chr19:39736316	8
chr1:158139878	3
chr1:44372140	3
chr2:149212100	3
chr4:154011094	3
chr4:169495494	3
chr4:80266653	3
chr5:157876905	3
chr5:24749335	8
chr7:151357006	3
chr8:11929426	8
chr8:29509841	3
chr11:18850562	2
chr11:36102177	2
chr13:86562546	2
chr14:67698377	2
chr15:54693789	2
chr16:14274583	2
chr16:17010064	2
chr19:48834713	9
chr19:51363700	2
chr1:154238981	2
chr1:181441425	2
chr1:59826965	2
chr2:57305422	2
chr3:124393248	2
chr3:170262887	2
chr3:170262903	2
chr5:174922772	2
chr5:758344	9
chr6:159990927	2
chr7:152405065	9
chr7:18817300	2
chr7:26946196	2
chr7:35112787	2
chr7:35112793	2
chr10:14820464	1
chr10:25928466	1
chr10:45677035	1
chr10:45759328	1
chr10:50660355	5
chr10:98454774	1
chr11:10802029	1
chr11:123205300	1
chr11:129895735	1
chr11:13236448	1
chr11:18450399	1
chr11:31354013	1
chr11:32845442	1
chr11:48526164	1
chr11:4955891	1
chr11:56144426	1
chr11:56144429	1
chr11:65980644	1
chr11:66461242	1
chr11:6712421	1
chr11:68558508	5
chr11:73337222	1
chr11:84645762	1
chr12:29361016	1
chr12:8275504	1
chr14:101426231	1
chr14:105668112	5
chr14:18334019	1
chr14:23104907	5
chr14:24286949	1
chr14:27752022	1
chr14:38115333	1
chr14:45935271	1
chr14:46395461	1
chr14:53343471	1
chr14:58161486	1
chr14:63250832	1
chr14:70477996	1
chr14:75937432	1
chr14:77649279	1
chr14:84206174	1
chr14:86903421	1
chr14:90426224	1
chr14:90507455	1
chr14:95772558	1
chr14:96095744	1
chr15:21261285	5
chr15:24649231	1
chr15:34456649	1
chr15:39005665	1
chr15:39005671	1
chr15:45466280	1
chr15:52738603	1
chr15:64365297	1
chr15:65428923	1
chr15:78389023	1
chr15:90351167	1
chr15:91153775	1
chr15:99800158	1
chr16:1984069	1
chr16:23213377	1
chr16:34586765	5
chr16:391447	1
chr16:51212553	1
chr16:51226602	1
chr16:57408782	1
chr16:66703576	1
chr16:816053	1
chr18:11960260	5
chr18:14780109	1
chr18:14780117	1
chr18:3428779	1
chr18:37304690	1
chr18:37352943	1
chr18:3867462	1
chr18:49341256	1
chr18:7146523	1
chr18:7151746	1
chr19:12572649	1
chr19:37293700	5
chr19:41960942	1
chr19:43415656	1
chr19:44488331	5
chr19:47010000	1
chr19:53585657	1
chr19:53585664	1
chr19:54243000	5
chr19:54384040	1
chr19:54384045	1
chr19:54725994	5
chr19:54725995	5
chr19:54957917	1
chr19:55565626	1
chr19:55870384	1
chr19:58354221	1
chr19:7450989	1
chr19:8882973	5
chr19:8882983	5
chr1:106476506	1
chr1:115445146	1
chr1:133483	1
chr1:147082237	1
chr1:14777303	1
chr1:149554864	5
chr1:154425677	1
chr1:154914041	1
chr1:162180479	1
chr1:16621258	5
chr1:16720579	1
chr1:1752730	1
chr1:178555625	5
chr1:179453383	1
chr1:19337948	1
chr1:217380368	1
chr1:229941585	1
chr1:23386280	1
chr1:245467632	1
chr1:45882204	1
chr1:52663447	1
chr1:52663473	1
chr1:52839317	1
chr1:55042209	1
chr1:63942956	1
chr1:6509672	1
chr1:65395191	1
chr1:6927281	1
chr1:6927345	1
chr1:73806620	1
chr1:91739855	1
chr20:12582818	1
chr20:18379613	1
chr20:36869391	1
chr20:37453828	1
chr20:46961056	1
chr20:47170240	1
chr20:49401890	1
chr20:50297602	1
chr20:63642964	1
chr20:8961751	1
chr22:20216474	1
chr22:20753893	1
chr22:22209167	1
chr22:26681111	1
chr22:29266247	1
chr22:30901860	1
chr22:41174067	1
chr22:41673692	1
chr22:50398967	1
chr2:101050122	1
chr2:101376012	1
chr2:101376014	1
chr2:107904011	1
chr2:128206157	1
chr2:156347963	1
chr2:158868366	5
chr2:159218388	1
chr2:17717059	1
chr2:17717082	1
chr2:186833156	1
chr2:192958423	1
chr2:23181709	1
chr2:25958872	1
chr2:38766635	1
chr2:46509234	1
chr2:47322149	1
chr2:49493019	1
chr2:61803166	1
chr2:65567536	1
chr2:70811037	1
chr2:70811077	1
chr2:97152034	1
chr2:97152109	1
chr3:133597121	1
chr3:140997392	1
chr3:142003366	1
chr3:143087470	1
chr3:155488444	1
chr3:159737038	1
chr3:161734873	1
chr3:172504929	1
chr3:194604073	1
chr3:196873353	1
chr6:107974088	1
chr6:116700425	1
chr6:154640580	1
chr6:158893575	1
chr6:163672279	1
chr6:24402811	1
chr6:26897701	5
chr6:29066518	1
chr6:32554488	5
chr6:32584627	1
chr6:32589877	5
chr6:32589880	5
chr6:32589913	5
chr6:33408938	1
chr6:35796793	1
chr6:35951090	5
chr6:36417304	1
chr6:38702151	1
chr6:42506147	1
chr6:4431011	1
chr6:93637205	1
chr7:102441839	1
chr7:104958001	1
chr7:104958032	1
chr7:108187699	1
chr7:65802215	1
chr7:65808081	1
chr7:76501400	5
chr8:100773258	1
chr8:108954548	1
chr8:12543824	1
chr8:18069739	5
chr8:27369609	1
chr8:35929004	1
chr8:386881	1
chr8:386886	1
chr8:386889	1
chr8:40491376	1
chr8:57209684	1
chr8:69697267	1
chr8:71020834	1
chr8:94475148	1
chr9:120953009	1
chr9:129830496	1
chr9:138152669	1
chr9:77535260	1
chr9:85698944	1
chr9:87816633	5
chr9:94293662	1
chr9:95714915	1

NODE	NODE_FREQS	CLADE_FREQS
0	0.0263,0.0306,0.0271,0.0353	1.0000,1.0000,1.0000,1.0000
1	0.3738,0.0146,0.0263,0.0373	0.9737,0.9694,0.9729,0.9647
2	0.0000,0.3100,0.0373,0.0074	0.5998,0.9547,0.9466,0.9274
3	0.0000,0.0000,0.4095,0.0000	0.5998,0.6447,0.9093,0.9200
4	0.0000,0.0000,0.0000,0.4723	0.5998,0.6447,0.4998,0.9200
5	0.0000,0.0000,0.0000,0.0000	0.5998,0.6447,0.4998,0.4477
6	0.0619,0.0000,0.0000,0.0000	0.5998,0.6447,0.4998,0.0000
